Book series title:          
JID:                        
ISSN:                       
Volume:                     
Volume/Issue PII:           B978-1-85617-682-8.X0001-X
Volume Title:              Dont Blame The Tools
Volume Subtitle:            The Adoption And Implementation Of Managerial innovations
Volume Editors:             Daniel et al
ISBN:                       978-1-85617-682-8
Expected year publ:         2009
Year of registration:       08 
SrNo PII                         DOI                                 
---- --------------------------- -----------------------------------
001- B978-1-85617-682-8.00001-1  10.1016/B978-1-85617-682-8.00001-1
002- B978-1-85617-682-8.00002-3  10.1016/B978-1-85617-682-8.00002-3
003- B978-1-85617-682-8.00003-5  10.1016/B978-1-85617-682-8.00003-5
004- B978-1-85617-682-8.00004-7  10.1016/B978-1-85617-682-8.00004-7
005- B978-1-85617-682-8.00005-9  10.1016/B978-1-85617-682-8.00005-9
006- B978-1-85617-682-8.00006-0  10.1016/B978-1-85617-682-8.00006-0
007- B978-1-85617-682-8.00007-2  10.1016/B978-1-85617-682-8.00007-2
008- B978-1-85617-682-8.00008-4  10.1016/B978-1-85617-682-8.00008-4
009- B978-1-85617-682-8.00009-6  10.1016/B978-1-85617-682-8.00009-6
010- B978-1-85617-682-8.00010-2  10.1016/B978-1-85617-682-8.00010-2
011- B978-1-85617-682-8.00011-4  10.1016/B978-1-85617-682-8.00011-4
012- B978-1-85617-682-8.00012-6  10.1016/B978-1-85617-682-8.00012-6
013- B978-1-85617-682-8.00013-8  10.1016/B978-1-85617-682-8.00013-8
014- B978-1-85617-682-8.00014-X  10.1016/B978-1-85617-682-8.00014-X
