JID,AID,OPEN ACCESS
MD,MD-D-15-02599,Yes
MD,MD-D-15-03164,Yes
MD,MD-D-15-03432,Yes
MD,MD-D-15-02093,Yes
MD,MD-D-15-03643,Yes
MD,MD-D-15-02157,Yes
MD,MD-D-15-03360,Yes
MD,MD-D-15-03842,Yes
MD,MD-D-15-04835,Yes
MD,MD-D-15-04514,Yes
MD,MD-D-15-04144,Yes
MD,MD-D-15-04246,Yes
MD,MD-D-15-04615,Yes
MD,MD-D-15-03767,Yes
MD,MD-D-15-03196,Yes
MD,MD-D-15-01671,Yes
MD,MD-D-15-03757,Yes
MD,MD-D-15-03885,Yes
MD,MD-D-15-04128,Yes
MD,MD-D-15-03998,Yes
MD,MD-D-15-02192,Yes
MD,MD-D-15-04825,Yes
MD,MD-D-15-04551,Yes
MD,MD-D-15-05558,Yes
MD,MD-D-15-02967,Yes
MD,MD-D-15-03425,Yes
MD,MD-D-15-03616,Yes
MD,MD-D-15-02326,Yes
MD,MD-D-15-04923,Yes
MD,MD-D-15-03649,Yes
MD,MD-D-15-03737,Yes
MD,MD-D-15-05500,Yes
MD,MD-D-15-04871,Yes
MD,MD-D-15-04525,Yes
MD,MD-D-15-02269,Yes
MD,MD-D-15-03734,Yes
JOEM,JOEM-15-5566,Yes
MD,MD-D-15-03288,Yes
MD,MD-D-15-05519,Yes
MD,MD-D-15-04300,Yes
MD,MD-D-15-03666,Yes
MD,MD-D-15-02550,Yes
MD,MD-D-15-03493,Yes
MD,MD-D-15-03164,Yes
MD,MD-D-15-02663,Yes
MD,MD-D-15-03373,Yes
MD,MD-D-15-04713,Yes
MD,MD-D-15-02121,Yes
MD,MD-D-15-04520,Yes
MD,MD-D-15-05074,Yes
MD,MD-D-15-04788,Yes
MD,MD-D-15-04389,Yes
MD,MD-D-15-04241,Yes
MD,MD-D-15-04241,Yes
MD,MD-D-15-03835,Yes
MD,MD-D-15-04701,Yes
MD,MD-D-15-04656,Yes
MD,MD-D-15-04191,Yes
MD,MD-D-15-03858,Yes
JOEM,JOEM-15-5555,Yes
MD,MD-D-15-04442,Yes
MD,MD-D-15-05026,Yes
MD,MD-D-15-03762,Yes
MD,MD-D-15-05215,Yes
MD,MD-D-15-04200,Yes
MD,MD-D-15-03708,Yes
MD,MD-D-15-04020,Yes
MD,MD-D-15-02923,Yes
MD,MD-D-15-03649,Yes
MD,MD-D-15-03803,Yes
MD,MD-D-15-03753,Yes
MD,MD-D-15-04167,Yes
MD,MD-D-15-01798,Yes
MD,MD-D-15-01928,Yes
MD,MD-D-15-04636,Yes
MD,MD-D-15-05421,Yes
MD,MD-D-15-04033,Yes
MD,MD-D-15-03365,Yes
MD,MD-D-15-03266,Yes
MD,MD-D-15-04156,Yes
MD,MD-D-15-03130,Yes
MD,MD-D-15-03819,Yes
MD,MD-D-15-04916,Yes
MD,MD-D-15-04628,Yes
MD,MD-D-15-02114,Yes
MD,MD-D-15-03352,Yes
MD,MD-D-15-04506,Yes
MD,MD-D-15-04067,Yes
MD,MD-D-15-04920,Yes
MD,MD-D-15-03203,Yes
MD,MD-D-15-00459,Yes
MD,MD-D-15-01781,Yes
MD,MD-D-15-04967,Yes
MD,MD-D-15-03972,Yes
MD,MD-D-15-03863,Yes
MD,MD-D-15-05324,Yes
MD,MD-D-15-04373,Yes
MD,MD-D-15-04448,Yes
MD,MD-D-15-03857,Yes
MD,MD-D-15-03846,Yes
MD,MD-D-15-03321,Yes
MD,MD-D-15-02646,Yes
MD,MD-D-15-02664,Yes
MD,MD-D-15-03505,Yes
MD,MD-D-15-05361,Yes
MD,MD-D-15-05583,Yes
MD,MD-D-15-05175,Yes
MD,MD-D-15-03025,Yes
MD,MD-D-15-03666,Yes
MD,MD-D-15-03079,Yes
MD,MD-D-15-02996,Yes
MD,MD-D-15-03643,Yes
MD,MD-D-15-04652,Yes
MD,MD-D-15-04608,Yes
MD,MD-D-15-04611,Yes
MD,MD-D-15-04299,Yes
MD,MD-D-15-02270,Yes
MD,MD-D-15-02838,Yes
MD,MD-D-15-04333,Yes
MD,MD-D-15-05687,Yes
MD,MD-D-15-04750,Yes
MD,MD-D-15-05782,Yes
MD,MD-D-15-03686,Yes
MD,MD-D-15-05356,Yes
MD,MD-D-15-00808,Yes
MD,MD-D-15-03025,Yes
MD,MD-D-15-04643,Yes
MD,MD-D-15-04595,Yes
MD,MD-D-15-04230,Yes
MD,MD-D-15-04241,Yes
MD,MD-D-15-04271,Yes
MD,MD-D-15-04507,Yes
MD,MD-D-15-01781,Yes
MD,MD-D-15-03655,Yes
MD,MD-D-15-03616,Yes
MD,MD-D-15-02731,Yes
MD,MD-D-15-04682,Yes
MD,MD-D-15-02854,Yes
MD,MD-D-15-04120,Yes
MD,MD-D-15-02815,Yes
MD,MD-D-15-03028,Yes
MD,MD-D-15-04460,Yes
MD,MD-D-15-04327,Yes
MD,MD-D-15-02953,Yes
MD,MD-D-15-02845,Yes
MD,MD-D-15-04347,Yes
MD,MD-D-15-04494,Yes
MD,MD-D-15-02170,Yes
MD,MD-D-15-03339,Yes
MD,MD-D-15-04602,Yes
MD,MD-D-15-05051,Yes
MD,MD-D-15-05058,Yes
MD,MD-D-15-03684,Yes
MD,MD-D-15-04161,Yes
MD,MD-D-15-00163,Yes
MD,MD-D-15-03777,Yes
MD,MD-D-15-04607,Yes
MD,MD-D-15-05367,Yes
MD,MD-D-15-02478,Yes
MD,MD-D-15-04229,Yes
JOEM,JOEM-15-5490,Yes
MD,MD-D-15-03616,Yes
MD,MD-D-15-03372,Yes
MD,MD-D-15-04689,Yes
MD,MD-D-15-04689,Yes
MD,MD-D-15-04188,Yes
MD,MD-D-15-03425,Yes
MD,MD-D-15-03863,Yes
MD,MD-D-15-02967,Yes
MD,MD-D-15-03542,Yes
MD,MD-D-15-04301,Yes
MD,MD-D-15-04180,Yes
MD,MD-D-15-02363,Yes
MD,MD-D-15-03262,Yes
MD,MD-D-15-02093,Yes
MD,MD-D-15-04506,Yes
MD,MD-D-15-03392,Yes
MD,MD-D-15-02707,Yes
JPGN,JPGN-15-202,Yes
MD,MD-D-15-04514,Yes
MD,MD-D-15-04595,Yes
MD,MD-D-15-04607,Yes
